 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
 	رده:تیم ملی فوتبال زنان تایوان	Category:Chinese_Taipei_women's_national_football_team	Chinese_Taipei_women's_national_football_team
 	رده:دانشگاه چینی هنگ کنگ	Category:Chinese_University_of_Hong_Kong	Chinese_University_of_Hong_Kong
 	رده:باشگاه فوتبال چیپنهام تاون	Category:Chippenham_Town_F.C.	Chippenham_Town_F.C.
 	رده:باشگاه فوتبال چیپستید	Category:Chipstead_F.C.	Chipstead_F.C.
 	رده:چیرالا	Category:Chirala	Chirala
 	رده:چیزلهرست	Category:Chislehurst	Chislehurst
 	رده:مارماهیان رنگین کاذب	Category:Chlopsidae	Chlopsidae
 	رده:کلرید	Category:Chloride	Chloride
 	رده:سنجاقک‌های جواهر	Category:Chlorocyphidae	Chlorocyphidae
 	رده:چو کیوهیون	Category:Cho_Kyuhyun	Cho_Kyuhyun
 	رده:خودووا پلانا	Category:Chodová_Planá	Chodová_Planá
 	رده:شوروایلر	Category:Chorweiler	Chorweiler
 	رده:تندیس مسیح	Category:Christ_the_Redeemer_(statue)	Christ_the_Redeemer_(statue)
 	رده:کریسشن ساینس	Category:Christian_Science	Christian_Science
 	رده:صهیونیسم مسیحی	Category:Christian_Zionism	Christian_Zionism
 	رده:بنیادگرایی مسیحی	Category:Christian_fundamentalism	Christian_fundamentalism
 	رده:مسیحیت در تاجیکستان	Category:Christianity_in_Tajikistan	Christianity_in_Tajikistan
 	رده:کریستینا میلان	Category:Christina_Milian	Christina_Milian
 	رده:خیابان کریستوفر	Category:Christopher_Street	Christopher_Street
 	رده:کلیسای نروژ	Category:Church_of_Norway	Church_of_Norway
 	رده:چرچیل، مانیتوبا	Category:Churchill,_Manitoba	Churchill,_Manitoba
 	رده:سیگاریتیس	Category:Cigaritis	Cigaritis
 	رده:چیما کوپی	Category:Cima_Coppi	Cima_Coppi
 	رده:کیمبری‌ها	Category:Cimbri	Cimbri
 	رده:ساسان (حشرات)	Category:Cimicidae	Cimicidae
 	رده:پیست اسپا-فرانکورشان	Category:Circuit_de_Spa-Francorchamps	Circuit_de_Spa-Francorchamps
 	رده:باشگاه فوتبال سایرون‌سستر تاون	Category:Cirencester_Town_F.C.	Cirencester_Town_F.C.
 	رده:سیتیزن	Category:Citizen_Watch	Citizen_Watch
 	رده:سیتریکس	Category:Citrix_Systems	Citrix_Systems
 	رده:سیتروئن ۲سی‌وی	Category:Citroën_2CV	Citroën_2CV
 	رده:سیوداد ویکتوریا	Category:Ciudad_Victoria	Ciudad_Victoria
 	رده:ملی‌گرایی مدنی	Category:Civic_nationalism	Civic_nationalism
 	رده:چیویتلا مسر رایموندو	Category:Civitella_Messer_Raimondo	Civitella_Messer_Raimondo
 	رده:شاخه‌سرونیان	Category:Cladocera	Cladocera
 	رده:عقاب‌های خال‌دار	Category:Clanga_(genus)	Clanga_(genus)
 	رده:کلاپام	Category:Clapham	Clapham
 	رده:کلارا بارتون	Category:Clara_Barton	Clara_Barton
 	رده:گربه‌ماهی‌های زنده‌مان	Category:Clarias	Clarias
 	رده:زبان چینی کلاسیک	Category:Classical_Chinese	Classical_Chinese
 	رده:نظریه میدان کلاسیک	Category:Classical_field_theory	Classical_field_theory
 	رده:کلیر لیک، آیووا	Category:Clear_Lake,_Iowa	Clear_Lake,_Iowa
 	رده:باشگاه فوتبال کلیتورپس تاون	Category:Cleethorpes_Town_F.C.	Cleethorpes_Town_F.C.
 	رده:علف مار (سرده)	Category:Cleome	Cleome
 	رده:کلارکنول	Category:Clerkenwell	Clerkenwell
 	رده:باشگاه فوتبال کلیودون پارک	Category:Clevedon_Town_F.C.	Clevedon_Town_F.C.
 	رده:مهندسی آب‌وهوا	Category:Climate_engineering	Climate_engineering
 	رده:ماهی‌های شیب‌دار	Category:Clinidae	Clinidae
 	رده:بنیاد کلینتون	Category:Clinton_Foundation	Clinton_Foundation
 	رده:باشگاه فوتبال کلیپستون ولفار	Category:Clipstone_F.C.	Clipstone_F.C.
 	رده:کلونکاری	Category:Cloncurry,_Queensland	Cloncurry,_Queensland
 	رده:کلوورلی، مریلند	Category:Cloverly,_Maryland	Cloverly,_Maryland
 	رده:باشگاه فوتبال آفریقایی	Category:Club_Africain	Club_Africain
 	رده:باشگاه فوتبال آمریکا	Category:Club_América	Club_América
 	رده:باشگاه فوتبال لیبرتاد	Category:Club_Libertad	Club_Libertad
 	رده:کلایدبنک	Category:Clydebank	Clydebank
 	رده:بیشه‌مرغ‌ها	Category:Clytoctantes	Clytoctantes
 	رده:کوک برن تاون، باهاما	Category:Cockburn_Town	Cockburn_Town
 	رده:کوکفوسترز	Category:Cockfosters	Cockfosters
 	رده:سنجاقک‌های بال‌بسته	Category:Coenagrionoidea	Coenagrionoidea
 	رده:کوفوردن	Category:Coevorden	Coevorden
 	رده:کافس هاربر	Category:Coffs_Harbour	Coffs_Harbour
 	رده:تیم دوچرخه‌سواری کوفیدیس	Category:Cofidis_(cycling_team)	Cofidis_(cycling_team)
 	رده:کوخدس (ایالت)	Category:Cojedes_(state)	Cojedes_(state)
 	رده:کولا (گیاه)	Category:Cola_(plant)	Cola_(plant)
 	رده:جنگ سرد دوم	Category:Cold_War_II	Cold_War_II
 	رده:کولبروک، نیوهمپشایر	Category:Colebrook,_New_Hampshire	Colebrook,_New_Hampshire
 	رده:کولسویل، مریلند	Category:Colesville,_Maryland	Colesville,_Maryland
 	رده:کولفاکس، کالیفرنیا	Category:Colfax,_California	Colfax,_California
 	رده:کلیسای جامع کلن	Category:Cologne_Cathedral	Cologne_Cathedral
 	رده:کولونیو مونتززه	Category:Cologno_Monzese	Cologno_Monzese
 	رده:کوتاه‌لب‌ها	Category:Cololabis	Cololabis
 	رده:بخش کولونیا	Category:Colonia_Department	Colonia_Department
 	رده:کولونا	Category:Colonna_family	Colonna_family
 	رده:مستعمره عدن	Category:Colony_of_Aden	Colony_of_Aden
 	رده:آرایه فیلتر رنگ	Category:Color_filter_array	Color_filter_array
 	رده:مدرسه حقوق کلمبیا	Category:Columbia_Law_School	Columbia_Law_School
 	رده:دانشگاه کمنیوس براتیسلاوا	Category:Comenius_University	Comenius_University
 	رده:کمین‌وارنتون	Category:Comines-Warneton	Comines-Warneton
 	رده:کومیزو	Category:Comiso	Comiso
 	رده:ناحیه کوموینه	Category:Commewijne_District	Commewijne_District
 	رده:کمودور وی‌آی‌سی-۲۰	Category:Commodore_VIC-20	Commodore_VIC-20
 	رده:کامن (رپر)	Category:Common_(rapper)	Common_(rapper)
 	رده:حزب کمونیست چکسلواکی	Category:Communist_Party_of_Czechoslovakia	Communist_Party_of_Czechoslovakia
 	رده:حزب کمونیست کردستان عراق	Category:Communist_Party_of_Kurdistan_–_Iraq	Communist_Party_of_Kurdistan_–_Iraq
 	رده:حزب کمونیست نپال (مارکسیست-لنینیست متحد)	Category:Communist_Party_of_Nepal_(Unified_Marxist–Leninist)	Communist_Party_of_Nepal_(Unified_Marxist–Leninist)
 	رده:جامعه کشورهای پرتغالی زبان	Category:Community_of_Portuguese_Language_Countries	Community_of_Portuguese_Language_Countries
 	رده:روش‌های جبران	Category:Compensation_methods	Compensation_methods
 	رده:احتمال شرطی	Category:Conditional_probability	Conditional_probability
 	رده:پارک ملی کانگری	Category:Congaree_National_Park	Congaree_National_Park
 	رده:جیرجیرک‌های سرقیفی	Category:Conocephalinae	Conocephalinae
 	رده:کانوفیتوم	Category:Conophytum	Conophytum
 	رده:مگس‌های سردرشت	Category:Conopidae	Conopidae
 	رده:کنوسا	Category:Conosa	Conosa
 	رده:سربازی در اسرائیل	Category:Conscription_in_Israel	Conscription_in_Israel
 	رده:کنستانتین کاوافی	Category:Constantine_P._Cavafy	Constantine_P._Cavafy
 	رده:یبوست	Category:Constipation	Constipation
 	رده:قانون اساسی دانمارک	Category:Constitution_of_Denmark	Constitution_of_Denmark
 	رده:قانون اساسی ایسلند	Category:Constitution_of_Iceland	Constitution_of_Iceland
 	رده:قانون اساسی ایرلند	Category:Constitution_of_Ireland	Constitution_of_Ireland
 	رده:قانون اساسی ایتالیا	Category:Constitution_of_Italy	Constitution_of_Italy
 	رده:قانون اساسی لوکزامبورگ	Category:Constitution_of_Luxembourg	Constitution_of_Luxembourg
 	رده:قانون اساسی سوئد	Category:Constitution_of_Sweden	Constitution_of_Sweden
 	رده:قانون اساسی اوکراین	Category:Constitution_of_Ukraine	Constitution_of_Ukraine
 	رده:قانون اساسی جمهوری چک	Category:Constitution_of_the_Czech_Republic	Constitution_of_the_Czech_Republic
 	رده:قانون اساسی بریتانیا	Category:Constitution_of_the_United_Kingdom	Constitution_of_the_United_Kingdom
 	رده:مصرف‌کننده	Category:Consumer	Consumer
 	رده:کنتیننتال میکرونزی	Category:Continental_Micronesia	Continental_Micronesia
 	رده:جدول پیشایندی	Category:Contingency_table	Contingency_table
 	رده:تبدیل درمانی	Category:Conversion_therapy	Conversion_therapy
 	رده:کانوی، نیوهمپشایر	Category:Conway,_New_Hampshire	Conway,_New_Hampshire
 	رده:جام حذفی فوتبال شیلی	Category:Copa_Chile	Copa_Chile
 	رده:جام سودامریکانا	Category:Copa_Sudamericana	Copa_Sudamericana
 	رده:کوپا دی لالیگا	Category:Copa_de_la_Liga	Copa_de_la_Liga
 	رده:قبطی‌ها	Category:Copts	Copts
 	رده:ویرایشگر نسخه‌بردار	Category:Copy_editing	Copy_editing
 	رده:کورالویل، آیووا	Category:Coralville,_Iowa	Coralville,_Iowa
 	رده:رنگینک‌های پرشی	Category:Corapipo	Corapipo
 	رده:کرازون آکینو	Category:Corazon_Aquino	Corazon_Aquino
 	رده:کوردووا، آلاسکا	Category:Cordova,_Alaska	Cordova,_Alaska
 	رده:لنگ‌ورقیان کورئینا	Category:Coreinae	Coreinae
 	رده:ناجوربالان کوروویدیا	Category:Coreoidea	Coreoidea
 	رده:کورتا اسکات کینگ	Category:Coretta_Scott_King	Coretta_Scott_King
 	رده:کورفینیو	Category:Corfinio	Corfinio
 	رده:باشگاه فوتبال کورینتیان کاسولس	Category:Corinthian-Casuals_F.C.	Corinthian-Casuals_F.C.
 	رده:کرنر بروک	Category:Corner_Brook	Corner_Brook
 	رده:سانتا آنا دکورو	Category:Coro,_Venezuela	Coro,_Venezuela
 	رده:ناحیه کورونی	Category:Coronie_District	Coronie_District
 	رده:جسم پینه‌ای	Category:Corpus_callosum	Corpus_callosum
 	رده:تجاوز اصلاحی	Category:Corrective_rape	Corrective_rape
 	رده:کورشهام	Category:Corsham	Corsham
 	رده:کورت، اوت-کورس	Category:Corte,_Haute-Corse	Corte,_Haute-Corse
 	رده:کورتس کاستیا و لئون	Category:Cortes_of_Castile_and_León	Cortes_of_Castile_and_León
 	رده:کورتونا	Category:Cortona	Cortona
 	رده:کوریفانتا	Category:Coryphantha	Coryphantha
 	رده:کاستا کروز	Category:Costa_Cruises	Costa_Cruises
 	رده:کوستوس	Category:Costus	Costus
 	رده:پنیر کوتاژ	Category:Cottage_cheese	Cottage_cheese
 	رده:پول تقلبی	Category:Counterfeit_money	Counterfeit_money
 	رده:شهرستان کیلکنی	Category:County_Kilkenny	County_Kilkenny
 	رده:شهرستان تیپراری	Category:County_Tipperary	County_Tipperary
 	رده:وست میث	Category:County_Westmeath	County_Westmeath
 	رده:دادگاه کیفری انگلستان و ولز	Category:Court_of_Chancery	Court_of_Chancery
 	رده:کووز	Category:Cowes	Cowes
 	رده:کرانن‌دونک	Category:Cranendonck	Cranendonck
 	رده:باشگاه فوتبال کراولی داون گاتویک	Category:Crawley_Down_Gatwick_F.C.	Crawley_Down_Gatwick_F.C.
 	رده:کرکیو	Category:Crecchio	Crecchio
 	رده:رتبه‌سنجی اعتباری	Category:Credit_rating	Credit_rating
 	رده:ریسک اعتباری	Category:Credit_risk	Credit_risk
 	رده:کردیتون	Category:Crediton	Crediton
 	رده:ورنتن، اورگن	Category:Creswell,_Oregon	Creswell,_Oregon
 	رده:یلوه‌های نوک‌کوتاه	Category:Crex	Crex
 	رده:جام جهانی کریکت	Category:Cricket_World_Cup	Cricket_World_Cup
 	رده:کریکلید	Category:Cricklade	Cricklade
 	رده:کریکوود	Category:Cricklewood	Cricklewood
 	رده:جنایت و مکافات	Category:Crime_and_Punishment	Crime_and_Punishment
 	رده:کرینوم (سرده)	Category:Crinum	Crinum
 	رده:نقد ویکی‌پدیا	Category:Criticism_of_Wikipedia	Criticism_of_Wikipedia
 	رده:مسابقات دوچرخه‌سواری کریتریوم اینترناسیونال	Category:Critérium_International	Critérium_International
 	رده:تیم ملی بسکتبال کرواسی	Category:Croatia_men's_national_basketball_team	Croatia_men's_national_basketball_team
 	رده:شورای دفاع کرواسی	Category:Croatian_Defence_Council	Croatian_Defence_Council
 	رده:کرومسترین	Category:Cromstrijen	Cromstrijen
 	رده:باشگاه فوتبال کروک تاون	Category:Crook_Town_A.F.C.	Crook_Town_A.F.C.
 	رده:ایالت کراس ریور	Category:Cross_River_State	Cross_River_State
 	رده:خاجی‌آرواره‌سانان	Category:Crossognathiformes	Crossognathiformes
 	رده:باشگاه فوتبال کرویدون	Category:Croydon_F.C.	Croydon_F.C.
 	رده:سرمادرمانی	Category:Cryotherapy	Cryotherapy
 	رده:گوبی‌های نگهبان	Category:Cryptocentrus	Cryptocentrus
 	رده:سیمرغ بلورین	Category:Crystal_Simorgh	Crystal_Simorgh
 	رده:عنکبوت‌های دریچه‌ساز	Category:Ctenizidae	Ctenizidae
 	رده:هواپیمایی کوبا	Category:Cubana_de_Aviación	Cubana_de_Aviación
 	رده:سوسک پوسته‌نشین تخت	Category:Cucujidae	Cucujidae
 	رده:کوئنکا	Category:Cuenca,_Spain	Cuenca,_Spain
 	رده:کورناواک	Category:Cuernavaca	Cuernavaca
 	رده:کایک	Category:Cuijk	Cuijk
 	رده:کولم‌بورخ	Category:Culemborg	Culemborg
 	رده:کولیاچان	Category:Culiacán	Culiacán
 	رده:کالومپتون	Category:Cullompton	Cullompton
 	رده:باشگاه فوتبال کالومپتون رنجرز	Category:Cullompton_Rangers_F.C.	Cullompton_Rangers_F.C.
 	رده:کومانا	Category:Cumaná	Cumaná
 	رده:سوسک مشبک	Category:Cupedidae	Cupedidae
 	رده:مؤسسه موسیقی کرتیس	Category:Curtis_Institute_of_Music	Curtis_Institute_of_Music
 	رده:خدمات مشتری	Category:Customer_service	Customer_service
 	رده:کوکسهاون	Category:Cuxhaven_(district)	Cuxhaven_(district)
 	رده:سی کولمن	Category:Cy_Coleman	Cy_Coleman
 	رده:کبودکشکرک	Category:Cyanopica	Cyanopica
 	رده:عنکبوت‌های لحاف‌دوز درختی	Category:Cyatholipidae	Cyatholipidae
 	رده:عنکبوت‌های گریزان	Category:Cycloctenidae	Cycloctenidae
 	رده:انگشت‌خمیده‌ها	Category:Cyrtodactylus	Cyrtodactylus
 	رده:خم‌پنجه	Category:Cyrtonyx	Cyrtonyx
 	رده:کیسه‌واران	Category:Cystoidea	Cystoidea
 	رده:انتخابات سنای چک (۲۰۱۶)	Category:Czech_Senate_election,_2016	Czech_Senate_election,_2016
 	رده:جمهوری سوسیالیستی چکسلواکی	Category:Czechoslovak_Socialist_Republic	Czechoslovak_Socialist_Republic
 	رده:کاسرس	Category:Cáceres,_Spain	Cáceres,_Spain
 	رده:سره، فرانسه	Category:Céret	Céret
 	رده:کوردوبا، وراکروز	Category:Córdoba,_Veracruz	Córdoba,_Veracruz
 	رده:کوت-نور	Category:Côte-Nord	Côte-Nord
 	رده:دی. دبلیو. گریفیث	Category:D._W._Griffith	D._W._Griffith
 	رده:میزان آمادگی دفاعی	Category:DEFCON	DEFCON
 	رده:دی‌ام‌اکس (رپر)	Category:DMX_(rapper)	DMX_(rapper)
 	رده:دالو ایرلاینز	Category:Daallo_Airlines	Daallo_Airlines
 	رده:دبکه	Category:Dabke	Dabke
 	رده:متروی دئگو	Category:Daegu_Metro	Daegu_Metro
 	رده:متروی دائجون	Category:Daejeon_Metro	Daejeon_Metro
 	رده:دای-ایچی لایف	Category:Dai-ichi_Life	Dai-ichi_Life
 	رده:دایکین	Category:Daikin	Daikin
 	رده:لبنیاتی	Category:Dairy	Dairy
 	رده:دالفسن	Category:Dalfsen	Dalfsen
 	رده:دالکی (ایرلند)	Category:Dalkey	Dalkey
 	رده:شهرستان دالسئونگ	Category:Dalseong_County	Dalseong_County
 	رده:لیگ برتر فوتبال زنان سوئد	Category:Damallsvenskan	Damallsvenskan
 	رده:دامبولا	Category:Dambulla	Dambulla
 	رده:شهرستان دامیانگ	Category:Damyang_County	Damyang_County
 	رده:دن سوج	Category:Dan_Savage	Dan_Savage
 	رده:دانگجین	Category:Dangjin	Dangjin
 	رده:دانیل اینوی	Category:Daniel_Inouye	Daniel_Inouye
 	رده:دانیل جانستون	Category:Daniel_Johnston	Daniel_Johnston
 	رده:دانیلا مرکوری	Category:Daniela_Mercury	Daniela_Mercury
 	رده:دانیلوفگراد	Category:Danilovgrad	Danilovgrad
 	رده:دنی آنتونوچی	Category:Danny_Antonucci	Danny_Antonucci
 	رده:دانتومادیل	Category:Dantumadiel	Dantumadiel
 	رده:دانوون-گو	Category:Danwon-gu	Danwon-gu
 	رده:شهرستان دانیانگ	Category:Danyang_County	Danyang_County
 	رده:داپینگین	Category:Dapingian	Dapingian
 	رده:داپیتان	Category:Dapitan	Dapitan
 	رده:داریوش دوم	Category:Darius_II	Darius_II
 	رده:دارلینگ داونز	Category:Darling_Downs	Darling_Downs
 	رده:دارلینگتن، مریلند	Category:Darlington,_Maryland	Darlington,_Maryland
 	رده:دارمشتات-دیبورگ	Category:Darmstadt-Dieburg	Darmstadt-Dieburg
 	رده:داریویلین	Category:Darriwilian	Darriwilian
 	رده:شهرستان داش‌کسن	Category:Dashkasan_District	Dashkasan_District
 	رده:ریش‌پشمیان	Category:Dasypogonaceae	Dasypogonaceae
 	رده:روزنامه‌نگاری داده	Category:Data_journalism	Data_journalism
 	رده:داتونگ	Category:Datong	Datong
 	رده:تندیس داوود	Category:David_(Michelangelo)	David_(Michelangelo)
 	رده:داوید بن گوریون	Category:David_Ben-Gurion	David_Ben-Gurion
 	رده:داولیش	Category:Dawlish	Dawlish
 	رده:سحرگاه	Category:Dawn	Dawn
 	رده:داژو	Category:Dazhou	Dazhou
 	رده:کالج دی انزا	Category:De_Anza_College	De_Anza_College
 	رده:ده‌بیلت	Category:De_Bilt	De_Bilt
 	رده:ده‌فریسکه مارن	Category:De_Fryske_Marren	De_Fryske_Marren
 	رده:دو آن (بلژیک)	Category:De_Haan,_Belgium	De_Haan,_Belgium
 	رده:ده‌مارنه	Category:De_Marne	De_Marne
 	رده:دو پن	Category:De_Panne	De_Panne
 	رده:دی پر، ویسکانسین	Category:De_Pere,_Wisconsin	De_Pere,_Wisconsin
 	رده:دو پنت	Category:De_Pinte	De_Pinte
 	رده:ده‌ولدن	Category:De_Wolden	De_Wolden
 	رده:باشگاه فوتبال دیل تاون	Category:Deal_Town_F.C.	Deal_Town_F.C.
 	رده:دوویل	Category:Deauville	Deauville
 	رده:شهرستان دباگار	Category:Debagarh_district	Debagarh_district
 	رده:دکا ریکوردز	Category:Decca_Records	Decca_Records
 	رده:دئرلیژک	Category:Deerlijk	Deerlijk
 	رده:دگراسی: نسل بعدی	Category:Degrassi:_The_Next_Generation	Degrassi:_The_Next_Generation
 	رده:دهیوالا-ماونت لاوینیا	Category:Dehiwala-Mount_Lavinia	Dehiwala-Mount_Lavinia
 	رده:دینوکوکوس-ترموس	Category:Deinococcus–Thermus	Deinococcus–Thermus
 	رده:دکمهاره	Category:Dekemhare	Dekemhare
 	رده:دلوان، ویسکانسین	Category:Delavan,_Wisconsin	Delavan,_Wisconsin
 	رده:موزه هنر دلاویر	Category:Delaware_Art_Museum	Delaware_Art_Museum
 	رده:دلف‌زیل	Category:Delfzijl	Delfzijl
 	رده:دلتا، بریتیش کلمبیا	Category:Delta,_British_Columbia	Delta,_British_Columbia
 	رده:دلتا آماکورو	Category:Delta_Amacuro	Delta_Amacuro
 	رده:جبهه دمکراتیک برای آزادی فلسطین	Category:Democratic_Front_for_the_Liberation_of_Palestine	Democratic_Front_for_the_Liberation_of_Palestine
 	رده:جمهوری دموکراتیک افغانستان	Category:Democratic_Republic_of_Afghanistan	Democratic_Republic_of_Afghanistan
 	رده:حزب اتحاد دموکراتیک (سوریه)	Category:Democratic_Union_Party_(Syria)	Democratic_Union_Party_(Syria)
 	رده:حزب اتحادگرای دموکراتیک	Category:Democratic_Unionist_Party	Democratic_Unionist_Party
 	رده:پالوده‌خوارسانان	Category:Dendrochirotida	Dendrochirotida
 	رده:دانترژم	Category:Dentergem	Dentergem
 	رده:باشگاه ورزشی دیپورتیوو کالی	Category:Deportivo_Cali	Deportivo_Cali
 	رده:استهلاک (اقتصاد)	Category:Depreciation	Depreciation
 	رده:باشگاه فوتبال درهام تاون	Category:Dereham_Town_F.C.	Dereham_Town_F.C.
 	رده:درونتا	Category:Derventa	Derventa
 	رده:بیابان‌زدایی	Category:Desert_greening	Desert_greening
 	رده:بازمانده برگزیده	Category:Designated_Survivor_(TV_series)	Designated_Survivor_(TV_series)
 	رده:تمرهندیان	Category:Detarioideae	Detarioideae
 	رده:جایزه فیلم آلمان	Category:Deutscher_Filmpreis	Deutscher_Filmpreis
 	رده:تور آلمان	Category:Deutschland_Tour	Deutschland_Tour
 	رده:باشگاه فوتبال دوایزس تاون	Category:Devizes_Town_F.C.	Devizes_Town_F.C.
 	رده:ولایت دوا	Category:Dewa_Province	Dewa_Province
 	رده:تارامشالا	Category:Dharamshala	Dharamshala
 	رده:شهرستان دنکانال	Category:Dhenkanal_district	Dhenkanal_district
 	رده:ذوالقرنین	Category:Dhul-Qarnayn	Dhul-Qarnayn
 	رده:دیادما، سائو پائولو	Category:Diadema,_São_Paulo	Diadema,_São_Paulo
 	رده:ماده‌باوری دیالکتیکی	Category:Dialectical_materialism	Dialectical_materialism
 	رده:قورباغه‌های زبان‌چنگالی	Category:Dicroglossidae	Dicroglossidae
 	رده:دی ارتسته	Category:Die_Ärzte	Die_Ärzte
 	رده:جزایر دیگو رامیرز	Category:Diego_Ramírez_Islands	Diego_Ramírez_Islands
 	رده:دیمن، هلند	Category:Diemen	Diemen
 	رده:دیفولتس (ناحیه)	Category:Diepholz_(district)	Diepholz_(district)
 	رده:دیلیجان	Category:Dilijan	Dilijan
 	رده:دیلما روسف	Category:Dilma_Rousseff	Dilma_Rousseff
 	رده:دیماپور	Category:Dimapur	Dimapur
 	رده:شهرستان دیماپور	Category:Dimapur_district	Dimapur_district
 	رده:تیم دایمنشن دیتا	Category:Dimension_Data_(cycling_team)	Dimension_Data_(cycling_team)
 	رده:چروک‌صدف‌های تخت	Category:Dimyidae	Dimyidae
 	رده:دینکل‌لاند	Category:Dinkelland	Dinkelland
 	رده:تمیسیان	Category:Dioscoreaceae	Dioscoreaceae
 	رده:دیوسدادو ماکاپاگال	Category:Diosdado_Macapagal	Diosdado_Macapagal
 	رده:بازیابی از حادثه	Category:Disaster_recovery	Disaster_recovery
 	رده:دیسکاور فایننشال	Category:Discover_Financial	Discover_Financial
 	رده:تبعیض علیه بی‌خدایان	Category:Discrimination_against_atheists	Discrimination_against_atheists
 	رده:گمراه سازی	Category:Disinformation	Disinformation
 	رده:دیسپور	Category:Dispur	Dispur
 	رده:باشگاه فوتبال دیس تاون	Category:Diss_Town_F.C.	Diss_Town_F.C.
 	رده:پشه‌های بال‌مویی	Category:Ditomyiidae	Ditomyiidae
 	رده:دیو (هند)	Category:Diu,_India	Diu,_India
 	رده:پشه‌های خون‌دزد	Category:Dixidae	Dixidae
 	رده:دیکسون، کالیفرنیا	Category:Dixon,_California	Dixon,_California
 	رده:ناحیه جانت	Category:Djanet_District	Djanet_District
 	رده:ناحیه جیمله	Category:Djimla_District	Djimla_District
 	رده:نیستر	Category:Dniester	Dniester
 	رده:متروی دنیپروپتروفسک	Category:Dnipro_Metro	Dnipro_Metro
 	رده:شهرداری دوبل	Category:Dobele_Municipality	Dobele_Municipality
 	رده:قطار سبک داکلندز	Category:Docklands_Light_Railway	Docklands_Light_Railway
 	رده:دوس‌بورخ	Category:Doesburg	Doesburg
 	رده:گوشت سگ	Category:Dog_meat	Dog_meat
 	رده:شرکت غذایی دل	Category:Dole_Food_Company	Dole_Food_Company
 	رده:مردم دولگان	Category:Dolgans	Dolgans
 	رده:دان هنلی	Category:Don_Henley	Don_Henley
 	رده:دان مری (بازیگر)	Category:Don_Murray_(actor)	Don_Murray_(actor)
 	رده:دوناتلو	Category:Donatello	Donatello
 	رده:دوناتیست	Category:Donatism	Donatism
 	رده:دناو-ریس	Category:Donau-Ries	Donau-Ries
 	رده:ناحیه دونگ (دئگو)	Category:Dong_District,_Daegu	Dong_District,_Daegu
 	رده:ناحیه دونگ (گوانگجو)	Category:Dong_District,_Gwangju	Dong_District,_Gwangju
 	رده:دونگان-گو	Category:Dongan-gu	Dongan-gu
 	رده:ناحیه دونگدامون	Category:Dongdaemun_District	Dongdaemun_District
 	رده:دونگدوچئون	Category:Dongducheon	Dongducheon
 	رده:دونگن	Category:Dongen	Dongen
 	رده:دونگرادیل	Category:Dongeradeel	Dongeradeel
 	رده:دونگهائه سیتی	Category:Donghae_City	Donghae_City
 	رده:ناحیه دونگجاک	Category:Dongjak_District	Dongjak_District
 	رده:دونگ‌یانگ	Category:Dongyang	Dongyang
 	رده:دانی ین	Category:Donnie_Yen	Donnie_Yen
 	رده:دوپامین	Category:Dopamine	Dopamine
 	رده:دورایمون	Category:Doraemon	Doraemon
 	رده:دریالیموواران	Category:Doridoidea	Doridoidea
 	رده:دوروهو	Category:Dorohoi	Dorohoi
 	رده:نوک‌نیزه‌ای‌ها	Category:Doryfera	Doryfera
 	رده:دوسا	Category:Dosa	Dosa
 	رده:دوثیدئومیستس	Category:Dothideomycetes	Dothideomycetes
 	رده:دراسینا	Category:Dracena	Dracena
 	رده:درخترلاند	Category:Drechterland	Drechterland
 	رده:درشفیتس	Category:Dreschvitz	Dreschvitz
 	رده:دریفیلد	Category:Driffield	Driffield
 	رده:دریملن	Category:Drimmelen	Drimmelen
 	رده:مگس‌های میوه	Category:Drosophilidae	Drosophilidae
 	رده:درومین	Category:Drumian	Drumian
 	رده:دروتن	Category:Druten	Druten
 	رده:فرودگاه بین‌المللی دوبی	Category:Dubai_International_Airport	Dubai_International_Airport
 	رده:دابو، استرالیا	Category:Dubbo	Dubbo
 	رده:دوبیتسا	Category:Dubica,_Bosnia-Herzegovina	Dubica,_Bosnia-Herzegovina
 	رده:دابلین، نیوهمپشایر	Category:Dublin,_New_Hampshire	Dublin,_New_Hampshire
 	رده:دوک‌نشین وورتمبرگ	Category:Duchy_of_Württemberg	Duchy_of_Württemberg
 	رده:دادلی مور	Category:Dudley_Moore	Dudley_Moore
 	رده:دادلی نیکولز	Category:Dudley_Nichols	Dudley_Nichols
 	رده:دویتاما	Category:Duitama	Duitama
 	رده:دایفن	Category:Duiven	Duiven
 	رده:دجیل	Category:Dujail	Dujail
 	رده:دالیتچ	Category:Dulwich	Dulwich
 	رده:کالج دالیتچ	Category:Dulwich_College	Dulwich_College
 	رده:دام فرایشایر	Category:Dumfriesshire	Dumfriesshire
 	رده:دامپینگ	Category:Dumping_(pricing_policy)	Dumping_(pricing_policy)
 	رده:دانبارتونشایر	Category:Dunbartonshire	Dunbartonshire
 	رده:دانکن، بریتیش کلمبیا	Category:Duncan,_British_Columbia	Duncan,_British_Columbia
 	رده:دانگاروان	Category:Dungarvan	Dungarvan
 	رده:دوکی دی کاشیس، ریو دو ژانیرو	Category:Duque_de_Caxias,_Rio_de_Janeiro	Duque_de_Caxias,_Rio_de_Janeiro
 	رده:بخش دورازنو	Category:Durazno_Department	Durazno_Department
